date,wa total gas sold,wa share of usa gas,average state tax excl. wa,wa excise tax
2022-06-01,229803688.0,0.019330227177686277,0.3189049009210061,0.494
2022-07-01,221326768.0,0.018480004658294986,0.31825959227137074,0.494
2022-08-01,246884043.0,0.020115622453428995,0.319603118486141,0.494
2022-09-01,228427610.0,0.01913513187088259,0.3185357872483668,0.494
2022-10-01,218016879.0,0.01809842402906754,0.3176994608268729,0.494
2022-11-01,224859253.0,0.01919950891622235,0.3185784250242557,0.494
2022-12-01,210391735.0,0.01809538883897591,0.31870875306864654,0.494
2023-01-01,204329402.0,0.1,0.32337797442775457,0.494
2023-02-01,201145425.0,0.1,0.3260525167397967,0.494
2023-03-01,231871968.0,0.1,0.32426204774723066,0.494
2023-04-01,225114855.0,0.1,0.32457044691298753,0.494
2023-05-01,246226043.0,0.1,0.3247060145778273,0.494
2023-06-01,219679943.0,0.1,0.3230188230900319,0.494
2023-07-01,250419653.0,0.1,0.32325173573956334,0.494
2023-08-01,238264282.0,0.1,0.32397725734324406,0.494
2023-09-01,226726895.0,0.1,0.3243072898822046,0.494
2023-10-01,219203972.0,0.1,0.3235860904173702,0.494
2023-11-01,206964551.0,0.1,0.323784559470895,0.494
2023-12-01,217138815.0,0.1,0.32476317641662805,0.494
