date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2021-11-01,174032699.0,0.014844561568934107,0.31384005263243286,0.36
2021-12-01,119996807.0,0.010146799273820692,0.31344352802359526,0.36
2022-01-01,119865737.0,0.011033510143835867,0.3217576437791969,0.38
2022-02-01,111931051.0,0.010657509285180894,0.3237450287272014,0.38
2022-03-01,116459445.0,0.01011266330656223,0.32229080973833746,0.38
2022-04-01,130780162.0,0.010978403197480566,0.3217845745296663,0.38
2022-05-01,127973860.0,0.01068051945749271,0.32152295108079293,0.38
2022-06-01,132210123.0,0.011121021316158537,0.3216405118522109,0.38
2022-07-01,135973202.0,0.011353282881550436,0.32083556526072443,0.38
2022-08-01,139121657.0,0.011335356847293072,0.32245897222858017,0.38
2022-09-01,130250428.0,0.010910936361934962,0.3212523259651843,0.38
2022-10-01,128126772.0,0.010636298711218859,0.32025475446327767,0.38
2022-11-01,119843841.0,0.010232813918641958,0.3213462401064812,0.38
2022-12-01,115783534.0,0.009958319269912329,0.321296124406396,0.38
2023-01-01,59841795.0,,0.32622065794247845,0.38
2023-02-01,161551295.0,,0.32843134150053765,0.38
2023-03-01,124699227.0,,0.3270597952860657,0.38
2023-04-01,123183038.0,,0.32722754310131386,0.38
2023-05-01,135192905.0,,0.3274850387772672,0.38
2023-06-01,134869777.0,,0.3254479953043541,0.38
2023-07-01,140028500.0,,0.32607774436781667,0.38
2023-08-01,139937468.0,,0.3266089071917005,0.38
2023-09-01,126903469.0,,0.32697096899036915,0.38
2023-10-01,129819452.0,,0.3260986195001477,0.38
2023-11-01,121141711.0,,0.3262314170504207,0.38
2023-12-01,118000354.0,,0.32736982921172136,0.38
